UniqueCount	AmbigCount
240	0
71	0
669	0
1173	3780
161	0
94	0
48	0
46	0
39	0
171	0
38	0
28	0
33	0
459	0
452	0
1	0
197	0
21	0
133	0
45	0
288	0
105	0
115	0
180	15
34	0
9	0
407	0
111	0
95	0
68	0
47	0
20	0
470	0
61	0
6	0
2325	0
93	0
73	0
99	0
82	0
58	0
179	0
58	0
32	0
52	0
429	0
126	0
270	0
129	0
43	0
317	0
24	0
55	0
104	0
111	0
94	0
22	50
0	0
142	0
108	0
115	0
189	0
78	0
0	1092
0	0
151	0
292	0
23	0
46	0
0	0
9	0
80	0
7	0
8	0
1	0
1	11
15	0
111	0
31	45
0	1
45	3
0	107
267	0
707	6
595	203
412	0
75	0
150	0
220	0
86	0
27	0
45	0
62	0
3	0
79	0
439	0
43	0
663	0
73	0
64	0
240	0
88	0
392	0
79	0
146	0
35	0
78	0
1200	440
118	0
345	0
801	0
16	0
56	0
271	0
156	0
38	0
201	0
54	0
221	0
114	0
168	0
599	0
133	0
242	0
1	0
1388	0
39	0
344	0
155	0
293	0
275	0
74	0
45	0
68	0
281	0
67	0
252	0
89	0
66	0
102	0
103	0
1771	0
236	0
217	0
90	0
25	0
491	1944
35	0
223	0
771	0
183	0
228	0
46	0
65	7
69	0
139	2
183	0
119	0
231	361
237	0
76	0
203	0
533	0
1406	0
90	0
114	0
53	0
96	0
4109	0
272	0
78	0
132	0
94	0
198	0
54	0
122	0
212	0
93	0
188	0
84	0
27	0
308	0
91	0
164	0
504	1258
940	853
1118	0
41	0
113	0
232	0
44	0
139	0
6	0
4	6
0	7
89	0
101	0
226	0
189	0
1220	0
255	0
117	0
158	0
45	0
100	1789
154	0
161	0
307	0
319	0
75	0
29	0
1811	0
10	0
160	0
63	0
67	0
185	0
36	0
236	0
325	0
236	170
208	0
50	0
379	0
234	0
5163	0
108	0
351	0
77	0
137	0
215	0
90	0
53	0
58	0
76	0
106	0
33	0
379	0
414	0
2	67
40	0
86	0
3369	0
157	0
234	0
11	0
66	0
999	0
249	0
225	0
244	0
686	0
33	0
255	0
3	0
300	0
104	0
130	0
60	130
71	0
17	8
19	14
123	0
